t_food,t_chart,accuracy,macro_f1,food_precision,food_recall,chart_precision,chart_recall,other_recall,other_to_food_fpr,other_to_chart_fpr,thresholds,score_means,confusion_matrix
0.75,0.85,0.9190246146767886,0.9280546617002611,0.9964622641509434,0.845,0.9854545454545455,0.9598583234946871,0.9946666666666667,0.004,0.0013333333333333333,"{'food': 0.75, 'chart': 0.85}","{'food_score': 0.4358103275299072, 'chart_score': 0.20377187430858612}","[[1690, 10, 300], [0, 813, 34], [6, 2, 1492]]"
0.75,0.9,0.9167241775937428,0.925517416698986,0.9964622641509434,0.845,0.9901356350184957,0.948051948051948,0.9946666666666667,0.004,0.0013333333333333333,"{'food': 0.75, 'chart': 0.9}","{'food_score': 0.4358103275299072, 'chart_score': 0.20377187430858612}","[[1690, 6, 304], [0, 803, 44], [6, 2, 1492]]"
0.35,0.8,0.9595123073383943,0.9613684791422398,0.9666329625884732,0.956,0.9808153477218226,0.9657615112160567,0.9606666666666667,0.037333333333333336,0.002,"{'food': 0.35, 'chart': 0.8}","{'food_score': 0.4358103275299072, 'chart_score': 0.20377187430858612}","[[1912, 13, 75], [10, 818, 19], [56, 3, 1441]]"
0.35,0.85,0.9585921325051759,0.960404233113476,0.9666329625884732,0.956,0.9854545454545455,0.9598583234946871,0.9613333333333334,0.037333333333333336,0.0013333333333333333,"{'food': 0.35, 'chart': 0.85}","{'food_score': 0.4358103275299072, 'chart_score': 0.20377187430858612}","[[1912, 10, 78], [10, 813, 24], [56, 2, 1442]]"
0.35,0.9,0.9562916954221302,0.9576746854261534,0.9666329625884732,0.956,0.9901356350184957,0.948051948051948,0.9613333333333334,0.037333333333333336,0.0013333333333333333,"{'food': 0.35, 'chart': 0.9}","{'food_score': 0.4358103275299072, 'chart_score': 0.20377187430858612}","[[1912, 6, 82], [10, 803, 34], [56, 2, 1442]]"
0.4,0.8,0.9588221762134805,0.9608487238497428,0.9752577319587629,0.946,0.9808153477218226,0.9657615112160567,0.972,0.026,0.002,"{'food': 0.4, 'chart': 0.8}","{'food_score': 0.4358103275299072, 'chart_score': 0.20377187430858612}","[[1892, 13, 95], [9, 818, 20], [39, 3, 1458]]"
0.4,0.85,0.9579020013802623,0.9598939765926188,0.9752577319587629,0.946,0.9854545454545455,0.9598583234946871,0.9726666666666667,0.026,0.0013333333333333333,"{'food': 0.4, 'chart': 0.85}","{'food_score': 0.4358103275299072, 'chart_score': 0.20377187430858612}","[[1892, 10, 98], [9, 813, 25], [39, 2, 1459]]"
0.4,0.9,0.9556015642972164,0.957183154420326,0.9752577319587629,0.946,0.9901356350184957,0.948051948051948,0.9726666666666667,0.026,0.0013333333333333333,"{'food': 0.4, 'chart': 0.9}","{'food_score': 0.4358103275299072, 'chart_score': 0.20377187430858612}","[[1892, 6, 102], [9, 803, 35], [39, 2, 1459]]"
0.45,0.8,0.9549114331723028,0.9576040502249752,0.9800524934383202,0.9335,0.9808153477218226,0.9657615112160567,0.9773333333333334,0.020666666666666667,0.002,"{'food': 0.45, 'chart': 0.8}","{'food_score': 0.4358103275299072, 'chart_score': 0.20377187430858612}","[[1867, 13, 120], [7, 818, 22], [31, 3, 1466]]"
0.45,0.85,0.9539912583390844,0.9566625757032011,0.9800524934383202,0.9335,0.9854545454545455,0.9598583234946871,0.978,0.020666666666666667,0.0013333333333333333,"{'food': 0.45, 'chart': 0.85}","{'food_score': 0.4358103275299072, 'chart_score': 0.20377187430858612}","[[1867, 10, 123], [7, 813, 27], [31, 2, 1467]]"
0.45,0.9,0.9516908212560387,0.9539759013308936,0.9800524934383202,0.9335,0.9901356350184957,0.948051948051948,0.978,0.020666666666666667,0.0013333333333333333,"{'food': 0.45, 'chart': 0.9}","{'food_score': 0.4358103275299072, 'chart_score': 0.20377187430858612}","[[1867, 6, 127], [7, 803, 37], [31, 2, 1467]]"
